Timestamp,What is your age?,What is your gender?,Where do you study?,How many students are there in your class?,Physical,Verbal,Cyber,Racial,Social,Classroom,Restroom,Hallway,School/College Bus,Gym/Sportsroom,Social Media,Home,Neighbourhood,Best Friends,Friends (Male),Friends (Female),Teachers,Parents,Relatives,Neighbours,Weight,Height,Skin Color,Have you ever carried a weapon to school?,Have you ever hit or pushed someone?,Have you ever insulted or threatened someone online?,Have you ever played a prank which upset someone?,How often do you miss school because you feel unsafe or uncomfortable,How often do you miss school for no good reason?,How often do you indulge in these activities?,"How often do you try to obtain money/possessions, other than the ones provided by your parent/guardian?","How often have you had your property stolen, or deliberately damaged?",How often have you stolen or deliberately damaged someone's property?,How often are you involved in a physical fight?,How often do you experience depression?,How often do you experience suicidal thoughts?,Outcome
11-25-2019 22:55:51,16,Male,High School (Grade 9 - Grade 12),72,6,10,2,1,1,5,4,1,1,10,10,6,1,10,5,8,6,6,1,1,8,8,6,Never,Regularly (1 or 2 times a week),Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Sometimes (1 or 2 times a month),Never,Never,Not a bully
11-25-2019 22:58:31,17,Male,High School (Grade 9 - Grade 12),30,1,3,1,1,4,8,5,6,10,8,7,10,10,10,10,8,7,9,6,7,4,10,7,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Regularly (1 or 2 times a week),Never,Never,Sometimes (1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:01:29,15,Male,High School (Grade 9 - Grade 12),34,6,8,2,8,9,8,9,7,9,9,6,10,9,10,10,8,8,10,7,1,9,8,10,Never,Every day,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Regularly (1 or 2 times a week),Sometimes (1 or 2 times a month),Not a bully
11-25-2019 23:03:02,22,Male,College/University,40,6,6,10,6,10,7,10,7,10,10,10,10,8,10,8,10,8,10,7,7,9,10,10,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:05:02,16,Male,High School (Grade 9 - Grade 12),45,5,10,1,1,1,4,1,1,10,4,10,10,7,10,9,7,4,8,5,5,10,10,10,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Regularly (1 or 2 times a week),Never,Never,Never,Never,Sometimes (1 or 2 times a month),Never,Never,Not a bully
11-25-2019 23:08:02,18,Female,College/University,102,1,1,1,1,1,8,9,8,5,7,3,10,3,9,7,9,6,8,3,4,3,6,8,Never,Never,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Regularly (1 or 2 times a week),Never,Sometimes ( 1 or 2 times a month),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Not a bully
11-25-2019 23:08:25,16,Male,High School (Grade 9 - Grade 12),30,4,7,7,1,2,7,6,8,4,5,8,10,9,9,10,7,5,7,7,5,3,4,4,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Never,Possible Bully
11-25-2019 23:10:40,15,Male,High School (Grade 9 - Grade 12),51,1,6,1,5,1,9,5,4,10,6,10,10,8,9,9,6,5,9,5,5,3,8,10,Never,Sometimes ( 1 or 2 times a month),Never,Regularly (1 or 2 times a week),Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Never,Never,Never,Not a bully
11-25-2019 23:11:38,19,Male,College/University,40,2,2,1,1,2,10,10,10,10,10,8,10,10,10,10,10,10,4,1,4,10,10,8,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes (1 or 2 times a month),Regularly (1 or 2 times a week),Sometimes (1 or 2 times a month),Not a bully
11-25-2019 23:14:47,22,Male,College/University,35,1,3,1,1,1,7,8,9,7,10,10,10,7,10,9,9,6,7,1,3,10,10,10,Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Sometimes (1 or 2 times a month),Never,Not a bully
